symbol
ABB.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANIPOWER.NS
AMBUJACEM.NS
APOLLOHOSP.NS
ASIANPAINT.NS
DMART.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BAJAJHLDNG.NS
BANKBARODA.NS
BEL.NS
BPCL.NS
BHARTIARTL.NS
BOSCHLTD.NS
BRITANNIA.NS
CGPOWER.NS
CANBK.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
CUMMINSIND.NS
DLF.NS
DIVISLAB.NS
DRREDDY.NS
EICHERMOT.NS
ETERNAL.NS
GAIL.NS
GODREJCP.NS
GRASIM.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HINDALCO.NS
HAL.NS
HINDUNILVR.NS
HINDZINC.NS
HYUNDAI.NS
ICICIBANK.NS
ITC.NS
INDHOTEL.NS
IOC.NS
IRFC.NS
INFY.NS
INDIGO.NS
JSWSTEEL.NS
JINDALSTEL.NS
JIOFIN.NS
KOTAKBANK.NS
LTM.NS
LT.NS
LODHA.NS
M&M.NS
MARUTI.NS
MAXHEALTH.NS
MAZDOCK.NS
MUTHOOTFIN.NS
NTPC.NS
NESTLEIND.NS
ONGC.NS
PIDILITIND.NS
PFC.NS
POWERGRID.NS
PNB.NS
RECLTD.NS
RELIANCE.NS
SBILIFE.NS
MOTHERSON.NS
SHREECEM.NS
SHRIRAMFIN.NS
ENRIN.NS
SIEMENS.NS
SOLARINDS.NS
SBIN.NS
SUNPHARMA.NS
TVSMOTOR.NS
TATACAP.NS
TCS.NS
TATACONSUM.NS
TMCV.NS
TMPV.NS
TATAPOWER.NS
TATASTEEL.NS
TECHM.NS
TITAN.NS
TORNTPHARM.NS
TRENT.NS
ULTRACEMCO.NS
UNIONBANK.NS
UNITDSPR.NS
VBL.NS
VEDL.NS
WIPRO.NS
ZYDUSLIFE.NS
